time,data
10956177,1.877250
10957363,1.585500
10958548,1.414125
10959734,1.441875
10960919,1.633500
10962105,1.909688
10963290,2.240813
10964476,2.634187
10965661,3.35063
10966847,3.364687
10968032,3.591375
10969218,3.767062
10970403,3.715875
10971588,3.532500
10972774,3.245438
10973959,2.879062
10975145,2.448188
10976330,2.63062
10977516,1.777500
10978701,1.579125
10979887,1.480125
10981072,1.524562
10982258,1.698375
10983443,1.966875
10984629,2.331000
10985814,2.821500
10987000,3.208500
10988185,3.497062
10989370,3.650813
10990556,3.675375
10991741,3.547688
10992927,3.367875
10994112,3.144000
10995298,2.817000
10996483,2.413687
10997669,2.19562
10998854,1.707937
11000040,1.512938
11001225,1.466625
11002411,1.628625
11003596,1.834500
11004782,2.120812
11005967,2.465437
11007153,2.847188
11008338,3.175500
11009523,3.452438
11010709,3.657562
11011894,3.693187
11013080,3.579937
11014265,3.360188
11015451,3.50437
11016636,2.674875
11017822,2.272312
11019007,1.975688
11020193,1.706813
11021378,1.546500
11022564,1.508625
11023749,1.600312
11024935,1.781625
11026120,2.113312
11027306,2.564063
11028491,3.1312
11029676,3.350438
11030862,3.578438
11032047,3.686625
11033233,3.645937
11034418,3.504188
11035604,3.328875
11036789,3.24375
11037975,2.625562
11039160,2.188500
11040346,1.806000
11041531,1.518000
11042717,1.411312
11043902,1.495687
11045088,1.684125
11046273,1.948125
11047458,2.285438
11048644,2.688000
11049829,3.78938
11051015,3.404250
11052200,3.670875
11053386,3.766125
11054571,3.691875
11055757,3.474000
11056942,3.181500
11058128,2.790563
11059313,2.395875
11060499,2.48063
11061684,1.762500
11062870,1.557375
11064055,1.477687
11065241,1.543125
11066426,1.723312
11067611,2.14125
11068797,2.441062
11069982,2.884687
11071168,3.248438
11072353,3.502312
11073539,3.643687
11074724,3.627375
11075910,3.528000
11077095,3.366563
11078281,3.119625
11079466,2.758500
11080652,2.347875
11081837,1.965750
11083022,1.665187
11084208,1.496812
11085394,1.521188
11086579,1.662750
11087764,1.864125
11088950,2.143125
11090135,2.503313
11091321,2.871562
11092506,3.220500
11093692,3.510000
11094877,3.687750
11096063,3.681750
11097248,3.549000
11098434,3.317250
11099619,2.996625
11100805,2.619000
11101990,2.259750
11103176,1.951875
11104361,1.670812
11105546,1.504875
11106732,1.502063
11107917,1.598438
11109103,1.821563
11110288,2.191500
11111474,2.648625
11112659,3.55313
11113845,3.381562
11115030,3.601687
11116216,3.681562
11117401,3.634687
11118587,3.513188
11119772,3.315187
11120958,2.958750
11122143,2.542500
11123329,2.119313
11124514,1.735125
11125700,1.489313
11126885,1.427625
11128070,1.541438
11129256,1.715062
11130441,1.984125
11131627,2.337375
11132812,2.739375
11133998,3.130312
11135183,3.469312
11136369,3.724313
11137554,3.750000
11138740,3.645000
11139925,3.420938
11141111,3.111562
11142296,2.729813
11143482,2.358562
11144667,2.34750
11145852,1.725750
11147038,1.530000
11148223,1.476375
11149409,1.554750
11150594,1.757063
11151780,2.84250
11152965,2.539313
11154151,2.922563
11155336,3.272625
11156522,3.517688
11157707,3.627000
11158893,3.609375
11160078,3.526875
11161264,3.371438
11162449,3.67500
11163635,2.696438
11164820,2.296875
11166006,1.911375
11167191,1.629938
11168376,1.502625
11169562,1.576875
11170747,1.666125
11171933,1.877813
11173118,2.175375
11174304,2.540062
11175489,2.909063
11176675,3.290437
11177860,3.583125
11179046,3.695437
11180231,3.663750
11181417,3.517313
11182602,3.269625
11183788,2.940187
11184973,2.571938
11186159,2.258625
11187344,1.880813
11188529,1.620750
11189715,1.482000
11190900,1.483312
11192086,1.603875
11193271,1.887750
11194457,2.292562
11195642,2.711250
11196828,3.104063
11198013,3.421125
11199199,3.618937
11200384,3.674625
11201570,3.628688
11202755,3.546562
11203941,3.249938
11205126,2.886750
11206311,2.458500
11207497,2.34375
11208682,1.667625
11209868,1.487437
11211053,1.474313
11212239,1.560187
11213424,1.743937
11214610,2.30625
11215795,2.389313
11216981,2.793562
11218166,3.193125
11219352,3.572813
11220537,3.716250
11221723,3.725438
11222908,3.595500
11224094,3.363750
11225279,3.31312
11226465,2.690063
11227650,2.344875
11228835,1.981875
11230021,1.680375
11231206,1.509375
11232392,1.477500
11233577,1.573313
11234763,1.806188
11235948,2.207438
11237134,2.578875
11238319,2.964188
11239505,3.293062
11240690,3.526500
11241876,3.604687
11243061,3.615375
11244246,3.541875
11245432,3.331875
11246617,3.10125
11247803,2.631938
11248988,2.224500
11250174,1.857563
11251359,1.604063
11252545,1.565438
11253730,1.563000
11254916,1.681125
11256101,1.899188
11257287,2.213063
11258472,2.566125
11259658,2.985000
11260843,3.372188
11262029,3.614813
11263214,3.691500
11264400,3.647625
11265585,3.482063
11266770,3.219187
11267956,2.891438
11269141,2.583188
11270327,2.182875
11271512,1.823625
11272698,1.569188
11273883,1.458562
11275069,1.461750
11276254,1.644375
11277440,1.976063
11278625,2.358750
11279811,2.765813
11280996,3.151688
11282182,3.457500
11283367,3.627938
11284553,3.676125
11285738,3.678750
11286923,3.488437
11288109,3.190125
11289294,2.810437
11290480,2.385188
11291665,1.941188
11292851,1.639875
11294036,1.513500
11295222,1.490062
11296407,1.575375
11297593,1.778062
11298778,2.79562
11299964,2.441437
11301149,2.858250
11302334,3.306937
11303520,3.588375
11304705,3.718875
11305891,3.696375
11307076,3.555187
11308262,3.289313
11309447,2.989312
11310633,2.678250
11311818,2.304938
11313004,1.928250
11314189,1.642875
11315375,1.495500
11316560,1.475438
11317746,1.600688
11318931,1.907625
11320117,2.248312
11321302,2.628000
11322488,3.1312
11323673,3.314812
11324858,3.508500
11326044,3.616313
11327229,3.646125
11328415,3.532125
11329600,3.288000
11330786,2.955563
11331971,2.568000
11333157,2.159063
11334342,1.810688
11335528,1.636688
11336713,1.556813
11337899,1.567500
11339084,1.689000
11340270,1.924125
11341455,2.229750
11342640,2.628937
11343826,3.79688
11345011,3.434438
11346197,3.632062
11347382,3.690375
11348568,3.627938
11349753,3.446625
11350939,3.176625
11352124,2.890312
11353310,2.529562
11354495,2.116688
11355681,1.755750
11356866,1.531125
11358052,1.419375
11359237,1.479750
11360423,1.710375
11361608,2.46187
11362794,2.415188
11363979,2.821687
11365164,3.200625
11366350,3.482063
11367535,3.643875
11368721,3.723938
11369906,3.671062
11371092,3.448500
11372277,3.119437
11373463,2.738437
11374648,2.287688
11375834,1.889438
11377019,1.634812
11378205,1.521188
11379390,1.494187
11380576,1.595438
11381761,1.816500
